Transaction ID,Sender Account ID,Receiver Account ID,Transaction Amount,Transaction Type,Date,Time,Transaction Status,Fraud Flag,Latitude,Longitude,Device Used,Network Slice ID,Latency (ms),Slice Bandwidth (Mbps),PIN Code
TXN9520068950,ACC14994,ACC16656,495.9,Deposit,17/01/2025,10:14:00 AM,Failed,TRUE,34.0522 N, -74.006 W,Desktop,Slice3,10,179,3075
TXN9412011085,ACC58958,ACC32826,529.62,Withdrawal,17/01/2025,10:51:00 AM,Success,FALSE,35.6895 N, -118.2437 W,Mobile,Slice2,11,89,2369
TXN4407425052,ACC56321,ACC92481,862.47,Withdrawal,17/01/2025,10:50:00 AM,Failed,FALSE,48.8566 N, 2.3522 W,Mobile,Slice1,4,53,8039
TXN2214150284,ACC48650,ACC76457,1129.88,Transfer,17/01/2025,10:56:00 AM,Success,TRUE,34.0522 N, -74.006 W,Mobile,Slice3,10,127,6374
TXN4247571145,ACC60921,ACC11419,933.24,Deposit,17/01/2025,10:25:00 AM,Success,TRUE,55.7558 N, 37.6173 W,Mobile,Slice3,20,191,8375
TXN2515439857,ACC18381,ACC76710,449.56,Withdrawal,17/01/2025,10:01:00 AM,Failed,FALSE,35.6895 N, 139.6917 W,Desktop,Slice1,14,191,4779
TXN2169752734,ACC43792,ACC51105,72.97,Withdrawal,17/01/2025,10:25:00 AM,Success,TRUE,55.7558 N, 2.3522 W,Mobile,Slice2,5,216,4347
TXN3109277527,ACC48227,ACC93536,1135.8,Deposit,17/01/2025,10:56:00 AM,Failed,TRUE,48.8566 N, -118.2437 W,Mobile,Slice2,11,69,8607
TXN4541918858,ACC10284,ACC24018,1154.59,Withdrawal,17/01/2025,10:38:00 AM,Success,FALSE,40.7128 N, -118.2437 W,Mobile,Slice2,6,151,1841
TXN4229370499,ACC11531,ACC53580,683.48,Transfer,17/01/2025,10:55:00 AM,Success,TRUE,34.0522 N, 2.3522 W,Mobile,Slice1,19,213,4495
TXN6355066290,ACC14006,ACC27800,485.37,Transfer,17/01/2025,10:50:00 AM,Failed,TRUE,34.0522 N, 37.6173 W,Mobile,Slice3,20,173,9631
TXN2166128709,ACC11156,ACC57086,1356.77,Deposit,17/01/2025,10:06:00 AM,Failed,FALSE,40.7128 N, 2.3522 W,Desktop,Slice1,18,179,4525
TXN8655304785,ACC62917,ACC77317,385.43,Deposit,17/01/2025,10:58:00 AM,Success,FALSE,55.7558 N, -74.006 W,Desktop,Slice3,17,181,9371
TXN5194651812,ACC39081,ACC11992,394.76,Deposit,17/01/2025,10:13:00 AM,Failed,FALSE,34.0522 N, -118.2437 W,Desktop,Slice2,16,146,7035
TXN9153984217,ACC34065,ACC67993,620.34,Deposit,17/01/2025,10:37:00 AM,Failed,FALSE,55.7558 N, 2.3522 W,Desktop,Slice2,7,215,4624
TXN9743166792,ACC82066,ACC33985,579.65,Transfer,17/01/2025,10:17:00 AM,Failed,FALSE,51.5074 N, 0.1278 W,Mobile,Slice2,14,246,9680
TXN6682052855,ACC68764,ACC53807,1171.23,Transfer,17/01/2025,10:29:00 AM,Success,FALSE,34.0522 N, -74.006 W,Mobile,Slice2,13,88,1993
TXN4351744832,ACC55704,ACC24911,817.55,Deposit,17/01/2025,10:13:00 AM,Failed,FALSE,40.7128 N, 2.3522 W,Mobile,Slice2,8,82,2092
TXN5897093700,ACC70859,ACC83767,113.95,Deposit,17/01/2025,10:25:00 AM,Success,FALSE,48.8566 N, -74.006 W,Mobile,Slice3,18,141,9271
TXN5863399870,ACC73740,ACC39244,906.82,Transfer,17/01/2025,10:57:00 AM,Failed,FALSE,34.0522 N, 2.3522 W,Mobile,Slice2,3,205,7119
TXN3008400720,ACC96801,ACC67913,402.18,Withdrawal,17/01/2025,10:07:00 AM,Failed,FALSE,35.6895 N, 0.1278 W,Mobile,Slice2,18,169,2975
TXN8954205071,ACC49428,ACC33014,154.78,Transfer,17/01/2025,10:41:00 AM,Success,TRUE,48.8566 N, 37.6173 W,Mobile,Slice3,7,68,8997
TXN8076969401,ACC81687,ACC75202,762.55,Deposit,17/01/2025,10:34:00 AM,Success,FALSE,48.8566 N, 2.3522 W,Desktop,Slice3,15,207,3282
TXN5541586171,ACC72546,ACC73085,1196.23,Withdrawal,17/01/2025,10:48:00 AM,Failed,FALSE,48.8566 N, -74.006 W,Mobile,Slice2,4,72,3997
TXN2415439100,ACC92329,ACC71125,1414.14,Transfer,17/01/2025,10:30:00 AM,Failed,FALSE,55.7558 N, 37.6173 W,Mobile,Slice2,4,52,9001
TXN4822238918,ACC27604,ACC93416,276.76,Withdrawal,17/01/2025,10:54:00 AM,Failed,TRUE,55.7558 N, 2.3522 W,Mobile,Slice1,14,101,1771
TXN3884612815,ACC79800,ACC11375,1453.39,Withdrawal,17/01/2025,10:12:00 AM,Failed,FALSE,40.7128 N, -74.006 W,Mobile,Slice2,13,151,8717
TXN5126223597,ACC49116,ACC36754,826.75,Withdrawal,17/01/2025,10:18:00 AM,Failed,TRUE,40.7128 N, 2.3522 W,Desktop,Slice2,15,232,2547
TXN7417651729,ACC26106,ACC21043,1371.8,Transfer,17/01/2025,10:09:00 AM,Failed,TRUE,35.6895 N, 37.6173 W,Mobile,Slice1,8,61,3326
TXN7538176865,ACC40510,ACC11454,604.25,Transfer,17/01/2025,10:56:00 AM,Failed,TRUE,55.7558 N, 37.6173 W,Mobile,Slice1,5,129,9633
TXN3914566506,ACC45926,ACC76590,979.89,Withdrawal,17/01/2025,10:25:00 AM,Failed,FALSE,40.7128 N, 2.3522 W,Mobile,Slice2,15,225,7119
TXN6302601632,ACC91042,ACC98945,129.78,Transfer,17/01/2025,10:11:00 AM,Success,TRUE,51.5074 N, -118.2437 W,Desktop,Slice1,19,106,5199
TXN2088036535,ACC66635,ACC27770,884.55,Transfer,17/01/2025,10:04:00 AM,Failed,TRUE,51.5074 N, 37.6173 W,Mobile,Slice2,14,228,9368
TXN1675844695,ACC32328,ACC14535,250.27,Transfer,17/01/2025,10:58:00 AM,Failed,FALSE,40.7128 N, 37.6173 W,Mobile,Slice1,7,109,3285
TXN6661143500,ACC94124,ACC34396,1227.89,Transfer,17/01/2025,10:29:00 AM,Success,FALSE,34.0522 N, 2.3522 W,Desktop,Slice2,7,70,1222
TXN3325189406,ACC51150,ACC42784,743.4,Transfer,17/01/2025,10:37:00 AM,Failed,FALSE,51.5074 N, -74.006 W,Desktop,Slice3,11,222,9753
TXN6805586313,ACC13179,ACC18973,852.42,Withdrawal,17/01/2025,10:41:00 AM,Failed,FALSE,34.0522 N, 2.3522 W,Mobile,Slice3,5,250,3441
TXN2113838138,ACC59845,ACC47976,92.6,Withdrawal,17/01/2025,10:49:00 AM,Success,FALSE,55.7558 N, 37.6173 W,Desktop,Slice2,7,122,9347
TXN2956253396,ACC98407,ACC76557,499.18,Withdrawal,17/01/2025,10:31:00 AM,Success,TRUE,55.7558 N, -74.006 W,Mobile,Slice1,19,231,8697
